session_window_ist,next_window,count,probability,n_total_in_row,phase_id
asia_early,asia_early,0,0.0,0.0,3
us_late,asia_early,0,0.0,0.0,3
global_reopen_pre_mcx,asia_early,0,0.0,8.0,3
mcx_open_drive,asia_early,0,0.0,8.0,3
india_morning,asia_early,0,0.0,8.0,3
india_midday,asia_early,0,0.0,8.0,3
europe_midday,asia_early,0,0.0,8.0,3
us_pre_open,asia_early,0,0.0,8.0,3
us_open,asia_early,0,0.0,16.0,3
mcx_tail,asia_early,0,0.0,0.0,3
asia_early,us_late,0,0.0,0.0,3
us_late,us_late,0,0.0,0.0,3
global_reopen_pre_mcx,us_late,0,0.0,8.0,3
mcx_open_drive,us_late,0,0.0,8.0,3
india_morning,us_late,0,0.0,8.0,3
india_midday,us_late,0,0.0,8.0,3
europe_midday,us_late,0,0.0,8.0,3
us_pre_open,us_late,0,0.0,8.0,3
us_open,us_late,0,0.0,16.0,3
mcx_tail,us_late,0,0.0,0.0,3
asia_early,global_reopen_pre_mcx,0,0.0,0.0,3
us_late,global_reopen_pre_mcx,0,0.0,0.0,3
global_reopen_pre_mcx,global_reopen_pre_mcx,0,0.0,8.0,3
mcx_open_drive,global_reopen_pre_mcx,0,0.0,8.0,3
india_morning,global_reopen_pre_mcx,0,0.0,8.0,3
india_midday,global_reopen_pre_mcx,0,0.0,8.0,3
europe_midday,global_reopen_pre_mcx,0,0.0,8.0,3
us_pre_open,global_reopen_pre_mcx,0,0.0,8.0,3
us_open,global_reopen_pre_mcx,0,0.0,16.0,3
mcx_tail,global_reopen_pre_mcx,0,0.0,0.0,3
asia_early,mcx_open_drive,0,0.0,0.0,3
us_late,mcx_open_drive,0,0.0,0.0,3
global_reopen_pre_mcx,mcx_open_drive,8,1.0,8.0,3
mcx_open_drive,mcx_open_drive,0,0.0,8.0,3
india_morning,mcx_open_drive,0,0.0,8.0,3
india_midday,mcx_open_drive,0,0.0,8.0,3
europe_midday,mcx_open_drive,0,0.0,8.0,3
us_pre_open,mcx_open_drive,0,0.0,8.0,3
us_open,mcx_open_drive,0,0.0,16.0,3
mcx_tail,mcx_open_drive,0,0.0,0.0,3
asia_early,india_morning,0,0.0,0.0,3
us_late,india_morning,0,0.0,0.0,3
global_reopen_pre_mcx,india_morning,0,0.0,8.0,3
mcx_open_drive,india_morning,8,1.0,8.0,3
india_morning,india_morning,0,0.0,8.0,3
india_midday,india_morning,0,0.0,8.0,3
europe_midday,india_morning,0,0.0,8.0,3
us_pre_open,india_morning,0,0.0,8.0,3
us_open,india_morning,0,0.0,16.0,3
mcx_tail,india_morning,0,0.0,0.0,3
asia_early,india_midday,0,0.0,0.0,3
us_late,india_midday,0,0.0,0.0,3
global_reopen_pre_mcx,india_midday,0,0.0,8.0,3
mcx_open_drive,india_midday,0,0.0,8.0,3
india_morning,india_midday,8,1.0,8.0,3
india_midday,india_midday,0,0.0,8.0,3
europe_midday,india_midday,0,0.0,8.0,3
us_pre_open,india_midday,0,0.0,8.0,3
us_open,india_midday,0,0.0,16.0,3
mcx_tail,india_midday,0,0.0,0.0,3
asia_early,europe_midday,0,0.0,0.0,3
us_late,europe_midday,0,0.0,0.0,3
global_reopen_pre_mcx,europe_midday,0,0.0,8.0,3
mcx_open_drive,europe_midday,0,0.0,8.0,3
india_morning,europe_midday,0,0.0,8.0,3
india_midday,europe_midday,8,1.0,8.0,3
europe_midday,europe_midday,0,0.0,8.0,3
us_pre_open,europe_midday,0,0.0,8.0,3
us_open,europe_midday,0,0.0,16.0,3
mcx_tail,europe_midday,0,0.0,0.0,3
asia_early,us_pre_open,0,0.0,0.0,3
us_late,us_pre_open,0,0.0,0.0,3
global_reopen_pre_mcx,us_pre_open,0,0.0,8.0,3
mcx_open_drive,us_pre_open,0,0.0,8.0,3
india_morning,us_pre_open,0,0.0,8.0,3
india_midday,us_pre_open,0,0.0,8.0,3
europe_midday,us_pre_open,8,1.0,8.0,3
us_pre_open,us_pre_open,0,0.0,8.0,3
us_open,us_pre_open,0,0.0,16.0,3
mcx_tail,us_pre_open,0,0.0,0.0,3
asia_early,us_open,0,0.0,0.0,3
us_late,us_open,0,0.0,0.0,3
global_reopen_pre_mcx,us_open,0,0.0,8.0,3
mcx_open_drive,us_open,0,0.0,8.0,3
india_morning,us_open,0,0.0,8.0,3
india_midday,us_open,0,0.0,8.0,3
europe_midday,us_open,0,0.0,8.0,3
us_pre_open,us_open,8,1.0,8.0,3
us_open,us_open,8,0.5,16.0,3
mcx_tail,us_open,0,0.0,0.0,3
asia_early,mcx_tail,0,0.0,0.0,3
us_late,mcx_tail,0,0.0,0.0,3
global_reopen_pre_mcx,mcx_tail,0,0.0,8.0,3
mcx_open_drive,mcx_tail,0,0.0,8.0,3
india_morning,mcx_tail,0,0.0,8.0,3
india_midday,mcx_tail,0,0.0,8.0,3
europe_midday,mcx_tail,0,0.0,8.0,3
us_pre_open,mcx_tail,0,0.0,8.0,3
us_open,mcx_tail,8,0.5,16.0,3
mcx_tail,mcx_tail,0,0.0,0.0,3
